Fill (Заполнение),5120000,0,9999
09260002.jpg (1),30208,10000,10058
100_0304crop.bmp (1),2555904,10059,15050
09260002.jpg (2),30508,15051,15110
100_0304crop.bmp (2),2556002,15111,20103
Fill (Заполнение),5120000,20104,30103
100_0018.tif (1),4989440,30104,39848
02010025.pcx (1),268800,39849,40373
100_0018.tif (2),4989440,40374,50118
02010025.pcx (2),268800,50119,50643
100_0018.tif (3),4990448,50644,60390
02010025.pcx (3),269064,60391,60916
Fill (Заполнение),5120000,60917,70916
100_0183.gif (1),66048,70917,71045
000_0021.png (1),6482944,71046,83707
02010025.pcx (1),402944,83708,84494
100_0183.gif (2),66900,84495,84625
000_0021.png (2),6483695,84626,97289
02010025.pcx (2),403720,97290,98078
